,BCH-USD,BTC-USD,ETH-USD,LTC-USD,BCH-USD_price,BTC-USD_price,ETH-USD_price,LTC-USD_price,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-04 13:10:00,0.0,-10.318441297499984,0.0,0.0,642.39,7351.9125,288.845,68.265,22683.649966351222,75860.27755560636,28.427305774613583,98543.92752195758,0.0
2018-09-04 13:11:00,0.0,-10.118441297499984,0.0,0.0,642.16,7352.647499999999,288.7625,68.04750000000001,24138.27609289391,74397.33210996001,-8.319319103649722,98535.60820285392,0.7352647499999974
2018-09-04 13:12:00,0.0,-10.118441297499984,0.0,0.0,642.155,7352.647499999999,288.755,68.005,24138.27609289391,74397.33210996001,0.0,98535.60820285392,0.0
2018-09-04 13:13:00,0.0,-10.118441297499984,0.0,0.0,642.16,7351.83,288.475,68.00750000000001,24154.81974441532,74389.06028419931,8.271825760698139,98543.88002861463,0.0
2018-09-04 13:14:00,0.0,-10.118441297499984,0.0,0.0,641.89,7348.325000000001,288.195,68.005,24225.75001791079,74353.59514745158,35.465136747729346,98579.34516536236,0.0
2018-09-04 13:15:00,0.0,-10.118441297499984,0.0,0.0,642.0,7345.9925,288.20000000000005,68.0025,24272.952546563625,74329.99388312516,23.60126432642313,98602.94642968879,0.0
2018-09-04 13:16:00,0.0,-10.018441297499985,0.0,0.0,641.995,7345.995,288.15,68.005,25007.13415460715,73595.4196792284,-0.3925958532396995,98602.55383383555,0.3672997499999987
2018-09-04 13:17:00,0.0,-10.018441297499985,0.0,0.0,641.3425,7343.4475,288.0825,68.005,25058.178113017915,73569.89770002302,25.52197920537793,98628.07581304094,0.0
2018-09-04 13:18:00,0.0,-10.018441297499985,0.0,0.0,641.3725,7335.8550000000005,287.675,67.8425,25210.308144120456,73493.83268447175,76.06501555126609,98704.14082859221,0.0
2018-09-04 13:19:00,0.0,-10.018441297499985,0.0,0.0,641.565,7332.7525,287.3075,67.67750000000001,25272.472572371466,73462.75047034625,31.08221412550245,98735.22304271771,0.0
2018-09-04 13:20:00,0.0,-10.018441297499985,0.0,0.0,641.0150000000001,7337.849999999999,287.305,67.6875,25170.33456334345,73513.81947486025,-51.06900451400472,98684.1540382037,0.0
2018-09-04 13:21:00,0.0,-10.018441297499985,0.0,0.0,640.52,7341.0025000000005,287.565,67.75999999999999,25107.168290962683,73545.40261105064,-31.58313619037927,98652.57090201332,0.0
2018-09-04 13:22:00,0.0,-10.018441297499985,0.0,0.0,640.525,7341.0075,287.755,67.8,25107.06810654972,73545.45270325712,-0.050092206479481614,98652.52080980684,0.0
2018-09-04 13:23:00,0.0,-10.018441297499985,0.0,0.0,640.5374999999999,7341.0075,287.7525,67.7575,25107.06810654972,73545.45270325712,0.0,98652.52080980684,0.0
2018-09-04 13:24:00,0.0,-10.018441297499985,0.0,0.0,641.275,7345.5025000000005,287.9625,67.83250000000001,25017.00231928518,73590.48559688938,-45.03289363227045,98607.48791617456,0.0
2018-09-04 13:25:00,0.0,-10.018441297499985,0.0,0.0,641.995,7348.744999999999,288.1075,67.935,24952.032727470913,73622.97039279652,-32.484795907128394,98575.00312026743,0.0
2018-09-04 13:26:00,0.0,-9.718441297499984,0.0,0.0,642.345,7349.9974999999995,287.985,67.97,27130.833282395673,71430.51924052164,-13.650597350123835,98561.35252291731,1.1024996250000025
2018-09-04 13:27:00,0.0,-9.718441297499984,0.0,0.0,642.515,7349.9974999999995,287.9875,67.9825,27130.833282395673,71430.51924052164,0.0,98561.35252291731,0.0
2018-09-04 13:28:00,0.0,-9.718441297499984,0.0,0.0,643.1949999999999,7359.8099999999995,287.9875,68.0775,26940.10887193223,71525.88144575336,-95.36220523171859,98465.99031768559,0.0
2018-09-04 13:29:00,0.0,-9.718441297499984,0.0,0.0,643.7,7365.745,287.985,68.155,26824.7509737309,71583.56039485402,-57.678949100666294,98408.31136858492,0.0
2018-09-04 13:30:00,0.0,-9.718441297499984,0.0,0.0,643.815,7360.505,287.985,68.225,26926.6002385287,71532.63576245512,50.92463239889779,98459.23600098382,0.0
2018-09-04 13:31:00,0.0,-9.718441297499984,0.0,0.0,643.82,7358.005000000001,287.985,68.27499999999999,26975.192445016175,71508.33965921139,24.296103243741122,98483.53210422756,0.0
2018-09-04 13:32:00,0.0,-9.718441297499984,0.0,0.0,643.82,7358.005,287.985,68.3125,26975.192445016204,71508.33965921137,8.838870869567458e-12,98483.53210422758,0.0
2018-09-04 13:33:00,0.0,-9.718441297499984,0.0,0.0,643.8175,7358.0075,287.9875,68.34,26975.143852809735,71508.3639553146,-0.024296103239860856,98483.50780812434,0.0
2018-09-04 13:34:00,0.0,-9.718441297499984,0.0,0.0,643.05,7358.005,287.985,68.3275,26975.192445016204,71508.33965921137,0.024296103239860856,98483.53210422758,0.0
2018-09-04 13:35:00,0.0,-9.718441297499984,0.0,0.0,642.435,7358.005000000001,287.985,68.3175,26975.192445016175,71508.33965921139,-8.838870869567458e-12,98483.53210422756,0.0
2018-09-04 13:36:00,0.0,-9.618441297499984,0.0,0.0,642.9200000000001,7356.165,287.985,68.315,27746.205000741,70754.84122722397,17.514123737410223,98501.04622796497,0.36780824999999867
2018-09-04 13:37:00,0.0,-9.618441297499984,0.0,0.0,643.115,7353.7325,287.9875,68.32,27792.998717653332,70731.4443687678,23.396858456167664,98524.44308642113,0.0
2018-09-04 13:38:00,0.0,-9.618441297499984,0.0,0.0,642.44,7353.132500000001,287.985,68.315,27804.540847210315,70725.67330398932,5.7710647784947415,98530.21415119963,0.0
2018-09-04 13:39:00,0.0,-9.618441297499984,0.0,0.0,642.44,7353.135,287.97,68.315,27804.49275500384,70725.69735009255,-0.024046103239900876,98530.1901050964,0.0
2018-09-04 13:40:00,0.0,-9.618441297499984,0.0,0.0,642.45,7356.17,287.9875,68.3125,27746.108816328022,70754.88931943045,-29.191969337911054,98500.99813575848,0.0
2018-09-04 13:41:00,0.0,-9.518441297499985,0.0,0.0,642.45,7358.695,287.9925,68.3175,28433.037253025643,70043.30638370664,-24.654499026183963,98476.34363673229,0.3679347499999987
2018-09-04 13:42:00,0.0,-9.518441297499985,0.0,0.0,642.45,7357.4349999999995,287.995,68.3175,28457.023725095336,70031.3131476718,11.993236034852059,98488.33687276713,0.0
2018-09-04 13:43:00,0.0,-9.518441297499985,0.0,0.0,642.3900000000001,7357.1925,288.1575,68.3175,28461.640169124614,70029.00492565715,2.3082220146378596,98490.64509478176,0.0
2018-09-04 13:44:00,0.0,-9.518441297499985,0.0,0.0,642.53,7354.540000000001,288.405,68.3175,28512.135500207834,70003.75726011554,25.247665541611436,98515.89276032338,0.0
2018-09-04 13:45:00,0.0,-9.518441297499985,0.0,0.0,642.66,7352.005,288.5475,68.31,28560.393997586172,69979.62801142638,24.129248689169735,98540.02200901255,0.0
2018-09-04 13:46:00,0.0,-9.518441297499985,0.0,0.0,642.4649999999999,7354.1175,288.59499999999997,68.28999999999999,28520.178583104236,69999.73571866735,-20.10770724097045,98519.91430177158,0.0
2018-09-04 13:47:00,0.0,-9.518441297499985,0.0,0.0,642.6324999999999,7358.110000000001,288.585,68.305,28444.17382934368,70037.73809554763,-38.00237688027146,98481.9119248913,0.0
2018-09-04 13:48:00,0.0,-9.518441297499985,0.0,0.0,642.985,7359.9974999999995,288.585,68.32249999999999,28408.24171344565,70055.70415349664,-17.966057949020833,98463.94586694229,0.0
2018-09-04 13:49:00,0.0,-9.518441297499985,0.0,0.0,642.9875,7359.994999999999,288.5875,68.2025,28408.289305652157,70055.68035739339,0.023796103248597867,98463.96966304554,0.0
2018-09-04 13:50:00,0.0,-9.518441297499985,0.0,0.0,642.99,7359.9925,288.59499999999997,68.17500000000001,28408.336897858608,70055.65656129016,0.02379610323128392,98463.99345914877,0.0
2018-09-04 13:51:00,0.0,-9.954612519999985,0.0,0.0,642.99,7361.9025,288.59499999999997,68.17750000000001,25159.32091374467,73284.8867975192,-19.78574788489899,98444.20771126387,1.6055250066754032
2018-09-04 13:52:00,0.0,-9.954612519999985,0.0,0.0,643.0,7362.985000000001,288.66249999999997,68.18,25137.769177638853,73295.6626655721,-10.77586805290433,98433.43184321096,0.0
2018-09-04 13:53:00,0.0,-9.954612519999985,0.0,0.0,642.995,7363.052500000001,288.735,68.17250000000001,25136.425304948658,73296.3346019172,-0.6719363451010855,98432.75990686586,0.0
2018-09-04 13:54:00,0.0,-9.954612519999985,0.0,0.0,642.995,7362.9025,288.87,68.17250000000001,25139.41168870467,73294.8414100392,1.49319187800543,98434.25309874387,0.0
2018-09-04 13:55:00,0.0,-9.954612519999985,0.0,0.0,642.9925000000001,7363.9974999999995,289.1,68.17250000000001,25117.611087285884,73305.74171074858,-10.900300709393465,98423.35279803447,0.0
2018-09-04 13:56:00,0.0,-9.954612519999985,0.0,0.0,643.405,7366.6675,289.195,68.17500000000001,25064.45345642908,73332.32052617699,-26.578815428400684,98396.77398260607,0.0
2018-09-04 13:57:00,0.0,-9.954612519999985,0.0,0.0,643.815,7368.8325,289.1375,68.17500000000001,25021.349984217464,73353.87226228279,-21.55173610580866,98375.22224650026,0.0
